Period,Net Income,Depreciation,CapEx,Working Capital Change,Owner Earnings
2024,7130000000.0,5368000000.0,-11339000000.0,-8671000000.0,-7512000000.0
2023,14999000000.0,4667000000.0,-8898000000.0,-6660000000.0,4108000000.0
2022,12583000000.0,3747000000.0,-6222000000.0,-6813000000.0,3295000000.0
2021,5524000000.0,2911000000.0,-7710000000.0,5074000000.0,5799000000.0
2020,690000000.0,2322000000.0,-3157000000.0,-11033000000.0,-11178000000.0
2019,-862000000.0,2154000000.0,-1327000000.0,-3122000000.0,-3157000000.0
2018,-976000000.0,2060000000.0,-2101000000.0,581850000.0,-435150000.0
2017,-1962000000.0,1727000000.0,-3415000000.0,1536941000.0,-2113059000.0
2016,-674914000.0,1041789000.0,-1280802000.0,-461820000.0,-1375747000.0
2015,-888663000.0,500644000.0,-1634850000.0,0.0,-2022869000.0
