name,gas_m3_per_day,cap_gas_m3,gas_fill_min_percent,gas_fill_max_percent,ch4_concentration_percent,has_heat_storage,chp0,chp1,chp2
1g_40kw,550,250,2.5,97.5,51.9,true,1g_40kw,,
1g_80kw,750,375,2.5,97.5,52.9,true,1g_80kw,,
1g_320kw,2100,2000,5.0,95.0,55.3,true,1g_320kw,,
1g_550kw,5450,1578,2.0,98.0,55.4,true,1g_550kw,,
1g_373kw,2250,2500,5.0,95.0,58.5,true,1g_373kw,,
1g_1250kw,9750,9250,2.5,97.5,50.0,true,1g_1250kw,,
2g_55kw,255,390,5.0,95.0,50.2,false,2g_55kw_1,2g_55kw_2,
2g_110kw,950,1000,2.5,97.5,56.8,false,2g_110kw_1,2g_110kw_2,
2g_220kw,2000,1150,2.5,97.5,55.7,false,2g_220kw_1,2g_220kw_2,
2g_300kw,3030,1530,2.0,98.0,54.5,false,2g_300kw_1,2g_300kw_2,
2g_320kw,2050,855,2.0,98.0,63.9,false,2g_320kw_1,2g_320kw_2,
2g_2050kw,14500,13000,5.0,95.0,50.0,false,2g_2050kw_1,2g_2050kw_2,
3g_555kw,6000,2500,5.0,95.0,51.6,false,3g_555kw_1,3g_555kw_2,3g_555kw_3
3g_1500kw,16040,25200,5.0,95.0,53.9,false,3g_1500kw_1,3g_1500kw_2,3g_1500kw_3
